service,fault_type,expected_root_cause,llm_root_cause,llm_correct,llm_confidence,rule_root_cause,rule_correct,fix_applied,result,mttr_seconds,manual_baseline,time_saved,revenue_per_second
auth,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,3.22,900,896.78,15.0
cart,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,2.53,900,897.47,15.0
payment,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,2.56,900,897.44,15.0
inventory,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,2.65,900,897.35,15.0
notification,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,2.49,900,897.51,15.0
auth,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.59,900,897.41,15.0
cart,memory,memory_leak,service_crash,False,100,service_crash,False,restart,RECOVERED,2.57,900,897.43,15.0
payment,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.58,900,897.42,15.0
inventory,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.59,900,897.41,15.0
notification,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.57,900,897.43,15.0
auth,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.88,900,897.12,15.0
cart,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,3.58,900,896.42,15.0
payment,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.57,900,897.43,15.0
inventory,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.58,900,897.42,15.0
notification,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.57,900,897.43,15.0
auth,error,error_spike,error_spike,True,90,error_spike,True,retry_with_backoff,RECOVERED,2.46,900,897.54,15.0
cart,error,error_spike,error_spike,True,80,error_spike,True,retry_with_backoff,RECOVERED,2.98,900,897.02,15.0
payment,error,error_spike,error_spike,True,90,error_spike,True,retry_with_backoff,RECOVERED,2.4,900,897.6,15.0
inventory,error,error_spike,error_spike,True,80,error_spike,True,retry_with_backoff,RECOVERED,2.55,900,897.45,15.0
notification,error,error_spike,error_spike,True,90,error_spike,True,retry_with_backoff,RECOVERED,2.37,900,897.63,15.0
